environment | time (millisecond),membrane | i_to_plus_p_K_0 (picoA_per_picoF),membrane | i_to_plus_p_K_10 (picoA_per_picoF),membrane | i_to_plus_p_K_20 (picoA_per_picoF),membrane | i_to_plus_p_K_30 (picoA_per_picoF),membrane | i_to_plus_p_K_40 (picoA_per_picoF),membrane | i_to_plus_p_K_50 (picoA_per_picoF),membrane | i_to_plus_p_K_60 (picoA_per_picoF),membrane | i_to_plus_p_K_70 (picoA_per_picoF),membrane | i_to_plus_p_K_80 (picoA_per_picoF),membrane | i_to_plus_p_K_neg10 (picoA_per_picoF),membrane | i_to_plus_p_K_neg20 (picoA_per_picoF),membrane | i_to_plus_p_K_neg30 (picoA_per_picoF)
100,0.0380948,0.212401,0.941434,2.37598,3.41936,3.92962,4.26944,4.57123,4.8652,0.00640764,0.00104891,0.000167519
101,0.188006,1.2198,4.89917,10.3693,15.3005,19.2371,22.2044,24.4714,26.3539,0.0263034,0.00383517,0.000564445
102,0.276244,1.56691,4.77416,8.31189,11.2751,13.8118,16.1586,18.3828,20.3666,0.0406527,0.00625325,0.000931817
103,0.320173,1.55538,3.80874,6.00647,7.80205,9.22048,10.4813,11.7425,13.0813,0.0505798,0.00833176,0.00126985
104,0.334257,1.39793,2.94166,4.50033,5.79185,6.71141,7.4404,8.11362,8.81396,0.057057,0.0101025,0.00157937
105,0.329486,1.20287,2.29262,3.54191,4.60173,5.28815,5.7672,6.16561,6.55487,0.0608966,0.0115982,0.00186161
106,0.313684,1.01608,1.82431,2.91822,3.87416,4.44989,4.79872,5.05024,5.28036,0.0627605,0.0128503,0.00211805
107,0.292143,0.853408,1.48733,2.50364,3.42079,3.94735,4.23031,4.39795,4.53197,0.0631769,0.0138888,0.00235028
108,0.26829,0.717779,1.24327,2.22312,3.12857,3.62974,3.88404,4.0134,4.09285,0.0625604,0.0147411,0.00255997
109,0.244242,0.607102,1.06489,2.02977,2.92684,3.40531,3.6478,3.77017,3.83216,0.0612312,0.0154324,0.00274876
110,0.22123,0.517737,0.933292,1.89333,2.77414,3.22642,3.46163,3.59103,3.66093,0.0594332,0.0159849,0.0029183
111,0.199914,0.445913,0.835322,1.79396,2.64869,3.07286,3.30081,3.43936,3.5266,0.0573497,0.0164185,0.00307015
112,0.180582,0.388252,0.761747,1.71867,2.5403,2.93719,3.15736,3.30279,3.40661,0.0551157,0.0167507,0.0032058
113,0.163302,0.341916,0.706024,1.65901,2.44444,2.81648,3.02883,3.17851,3.295,0.0528294,0.016997,0.00332666
114,0.148011,0.304592,0.663477,1.60965,2.35896,2.70909,2.91398,3.066,3.19152,0.0505606,0.0171706,0.00343405
115,0.134573,0.274429,0.630725,1.56731,2.28259,2.61364,2.81168,2.96484,3.09674,0.0483571,0.0172831,0.0035292
116,0.122821,0.249961,0.605307,1.53002,2.21437,2.52891,2.72076,2.87435,3.01083,0.0462507,0.0173446,0.00361325
117,0.112577,0.230028,0.585419,1.49663,2.15347,2.45374,2.6401,2.79368,2.93352,0.044261,0.0173636,0.00368726
118,0.103668,0.21372,0.569723,1.46644,2.09913,2.38711,2.56865,2.72196,2.8643,0.0423987,0.0173476,0.00375218
119,0.095928,0.200316,0.557226,1.43903,2.05066,2.32811,2.50547,2.65836,2.80256,0.0406681,0.0173029,0.0038089
120,0.0892093,0.189249,0.547182,1.4141,2.00746,2.27594,2.44971,2.60211,2.74769,0.0390691,0.0172349,0.00385824
121,0.0833778,0.180071,0.539029,1.39144,1.96898,2.22989,2.40065,2.55252,2.69909,0.0375984,0.0171481,0.00390092
122,0.0783154,0.172426,0.532343,1.37085,1.93474,2.18935,2.35761,2.50898,2.65624,0.0362506,0.0170465,0.00393763
123,0.0739185,0.166031,0.526797,1.35216,1.9043,2.15376,2.32001,2.47089,2.61863,0.0350191,0.0169334,0.00396897
124,0.0700972,0.160659,0.522144,1.33522,1.87729,2.12263,2.28728,2.43771,2.58575,0.0338963,0.0168115,0.0039955
125,0.0667732,0.156129,0.518193,1.31988,1.85337,2.0955,2.25891,2.40893,2.55714,0.0328747,0.0166831,0.00401772
126,0.0638792,0.152293,0.514796,1.306,1.83224,2.07195,2.2344,2.38402,2.53229,0.0319466,0.0165503,0.00403609
127,0.0613568,0.149035,0.511837,1.29345,1.81363,2.0516,2.21329,2.3625,2.51072,0.0311043,0.0164146,0.00405101
128,0.0591559,0.146256,0.509229,1.28211,1.79728,2.03406,2.19515,2.34391,2.49196,0.0303405,0.0162775,0.00406285
129,0.0572333,0.143879,0.506902,1.27188,1.78298,2.01902,2.17963,2.32794,2.47569,0.0296485,0.0161399,0.00407196
130,0.0555517,0.141838,0.504802,1.26265,1.77051,2.00617,2.16651,2.3144,2.46172,0.0290218,0.0160029,0.00407864
131,0.0540791,0.14008,0.502886,1.25433,1.75969,1.9953,2.15564,2.30323,2.45007,0.0284544,0.0158672,0.00408315
132,0.0527879,0.138562,0.501122,1.24684,1.75032,1.98622,2.14693,2.29444,2.44082,0.0279407,0.0157333,0.00408574
133,0.0516542,0.137246,0.499483,1.24009,1.74227,1.97883,2.14029,2.28795,2.434,0.0274757,0.0156019,0.00408664
134,0.0506575,0.136102,0.49795,1.23403,1.73536,1.973,2.13557,2.28361,2.4295,0.0270547,0.0154731,0.00408603
135,0.0497799,0.135104,0.496507,1.22859,1.72949,1.96863,2.13255,2.28111,2.42701,0.0266736,0.0153474,0.00408411
136,0.049006,0.134232,0.495143,1.22371,1.72454,1.96555,2.13092,2.28009,2.42614,0.0263283,0.0152248,0.00408102
137,0.0483226,0.133466,0.493847,1.21933,1.72043,1.96358,2.13034,2.28011,2.42639,0.0260154,0.0151057,0.00407691
138,0.0477181,0.132793,0.492613,1.21542,1.71707,1.96251,2.13049,2.28078,2.4273,0.0257318,0.01499,0.00407191
139,0.0471824,0.132198,0.491435,1.21193,1.71442,1.9621,2.13106,2.28174,2.42849,0.0254745,0.0148779,0.00406614
140,0.046707,0.131671,0.490309,1.20882,1.71238,1.96215,2.13182,2.28276,2.42966,0.025241,0.0147694,0.00405969
141,0.0462842,0.131202,0.489233,1.20605,1.7109,1.96247,2.13258,2.28365,2.43066,0.0250289,0.0146643,0.00405266
142,0.0459074,0.130784,0.488203,1.20359,1.70988,1.96292,2.13324,2.28436,2.43141,0.0248361,0.0145629,0.00404513
